gene	rho	pvalue	padj	program
FGFBP2	-0.8107381831239676	0.0	0.0	late_down
SERPINA1	-0.7785607134860651	0.0	0.0	late_down
MT1G	-0.7372631797828807	0.0	0.0	late_down
COMP	-0.7296439417264914	0.0	0.0	late_down
CYTL1	-0.7268744010129501	0.0	0.0	late_down
MGP	-0.71281731684838	0.0	0.0	late_down
APOD	-0.7025851150622108	0.0	0.0	late_down
PRELP	-0.702300200871811	0.0	0.0	late_down
CHAD	-0.6854781382202197	0.0	0.0	late_down
MIA	-0.6829718173927959	0.0	0.0	late_down
CALD1	0.6793244169452346	0.0	0.0	late_up
RGCC	-0.6721410273831104	0.0	0.0	late_down
S100B	-0.6717911753630541	0.0	0.0	late_down
ACAN	-0.6715622821639027	0.0	0.0	late_down
MT1X	-0.6714062287032367	0.0	0.0	late_down
CLEC3A	-0.6685152796588599	0.0	0.0	late_down
TMSB4X	0.6525042376946932	0.0	0.0	late_up
COL9A3	-0.6442584851706106	0.0	0.0	late_down
COL1A2	0.6388964371845082	0.0	0.0	late_up
COL1A1	0.6221544489901534	0.0	0.0	late_up
TPM1	0.6210224138682833	0.0	0.0	late_up
H3F3B	-0.620302783902502	0.0	0.0	late_down
PRSS23	0.6034720538895573	0.0	0.0	late_up
LIMA1	0.5986316820207386	0.0	0.0	late_up
RPS27	-0.5961826943276591	0.0	0.0	late_down
FTH1	0.5955172422387722	0.0	0.0	late_up
EEF1G	0.5886201674774156	0.0	0.0	late_up
C11orf96	-0.5876464147482476	0.0	0.0	late_down
RPS27A	-0.5871485521376857	0.0	0.0	late_down
SCRG1	-0.5849526998390638	0.0	0.0	late_down
MT1E	-0.5807747104715791	0.0	0.0	late_down
TMSB10	0.5801421232059664	0.0	0.0	late_up
NME2	0.578560920068323	0.0	0.0	late_up
PTMA	-0.5735656887067319	0.0	0.0	late_down
LGALS1	0.5709503378027299	0.0	0.0	late_up
FXYD6	-0.5699025287305273	0.0	0.0	late_down
DAB2	0.5674007507010232	0.0	0.0	late_up
COL9A2	-0.5613246919880348	0.0	0.0	late_down
HSPA1B	-0.560927839453964	0.0	0.0	late_down
RPL34	-0.559783803977891	0.0	0.0	late_down
THY1	0.5586902419406354	0.0	0.0	late_up
PNRC1	-0.5582180113260684	0.0	0.0	late_down
RBP4	-0.5566090255584154	0.0	0.0	late_down
RPL17	0.5561164828949322	0.0	0.0	late_up
IGFBP4	0.5557168611345568	0.0	0.0	late_up
COL2A1	-0.5437280365621475	0.0	0.0	late_down
FMOD	-0.5427987851141571	0.0	0.0	late_down
MAP1B	0.5394613906207955	0.0	0.0	late_up
COL11A2	-0.5377177930814413	0.0	0.0	late_down
LMO7	0.5360100083467693	0.0	0.0	late_up
EIF3H	-0.5343779379743778	0.0	0.0	late_down
TPM4	0.5304238548268722	0.0	0.0	late_up
EIF1	-0.5259916106650403	0.0	0.0	late_down
EIF4A1	0.5230501988544876	0.0	0.0	late_up
ANXA2	0.5205668026774841	0.0	0.0	late_up
HSPA1A	-0.5205231509904061	0.0	0.0	late_down
SOX9	-0.5199635965606249	0.0	0.0	late_down
RPL24	-0.5196308821206232	0.0	0.0	late_down
RNASEK	0.5194563857549985	0.0	0.0	late_up
ATF3	-0.5194227324728274	0.0	0.0	late_down
RPL8	-0.5187272555210517	0.0	0.0	late_down
RPS3A	-0.5184475818189058	0.0	0.0	late_down
RPS29	-0.5182149365901395	0.0	0.0	late_down
IBSP	-0.5178851518160243	0.0	0.0	late_down
FBXO2	-0.5168399368846556	0.0	0.0	late_down
JUND	-0.5166872535803225	0.0	0.0	late_down
FRZB	-0.5140678685950987	0.0	0.0	late_down
HNRNPA1	-0.5128018821299015	0.0	0.0	late_down
RPL21	-0.5087119073748597	0.0	0.0	late_down
ITGA11	0.5039296842671789	0.0	0.0	late_up
CLU	-0.5029672893534688	0.0	0.0	late_down
GADD45B	-0.5007219546599249	0.0	0.0	late_down
ITGBL1	0.5003870267321976	0.0	0.0	late_up
TRAPPC5	0.5000909603912688	0.0	0.0	late_up
TSC22D1	-0.4988810008484108	0.0	0.0	late_down
BTG1	-0.49679223826156405	0.0	0.0	late_down
COL6A3	0.49650245300611645	0.0	0.0	late_up
RPL9	-0.49440485684825114	0.0	0.0	late_down
GABARAP	0.49394216766438576	0.0	0.0	late_up
ITGB1	0.4932324253393903	0.0	0.0	late_up
RPS25	-0.4920626218571011	0.0	0.0	late_down
FLNA	0.4893270399884112	0.0	0.0	late_up
MT2A	-0.4891437725958766	0.0	0.0	late_down
FOSB	-0.48804521947860763	0.0	0.0	late_down
ACTG1	0.48647729976025095	0.0	0.0	late_up
MYLK	0.48630937240728617	0.0	0.0	late_up
COL12A1	0.4858991202318932	0.0	0.0	late_up
IL17B	-0.4854364676923427	0.0	0.0	late_down
TPM2	0.48355611666149545	0.0	0.0	late_up
RPL30	-0.4834208030988425	0.0	0.0	late_down
ACTB	0.4833542122783556	0.0	0.0	late_up
MYOF	0.48222587536866224	0.0	0.0	late_up
SOD3	-0.4822017222529617	0.0	0.0	late_down
KLF4	-0.4815011146984517	0.0	0.0	late_down
RPS13	-0.48130646986534614	0.0	0.0	late_down
S100A1	-0.4801762325444707	0.0	0.0	late_down
TUBB2B	-0.4799575838510471	0.0	0.0	late_down
F13A1	-0.4788801937083158	0.0	0.0	late_down
MT1F	-0.47831177184064105	0.0	0.0	late_down
FOS	-0.47819655890576684	0.0	0.0	late_down
TAGLN	0.477294616339873	0.0	0.0	late_up
CCDC80	0.47566006978539377	0.0	0.0	late_up
MRPS24	0.47547682206163	0.0	0.0	late_up
COL14A1	0.4752807425706172	0.0	0.0	late_up
HSPA6	-0.47449106642539124	0.0	0.0	late_down
FBN1	0.47297232946246753	0.0	0.0	late_up
COL6A1	0.4718485550681601	0.0	0.0	late_up
MT-CO2	0.46917020023332034	0.0	0.0	late_up
BASP1	0.4689744882622118	0.0	0.0	late_up
CST3	-0.4671243224897749	0.0	0.0	late_down
DNAJB1	-0.4657887582410268	0.0	0.0	late_down
MARCKS	0.4652028525612302	0.0	0.0	late_up
RPS10	-0.46468662779232345	0.0	0.0	late_down
RPL38	-0.46346251557280915	0.0	0.0	late_down
ATP6V0C	0.4611052280500578	0.0	0.0	late_up
RND3	0.46065060338784947	0.0	0.0	late_up
MYL9	0.45870001006306127	0.0	0.0	late_up
PSMA6	0.45753941371935863	0.0	0.0	late_up
AP2S1	0.45703473383563076	0.0	0.0	late_up
IGFBP3	0.4561386455005051	0.0	0.0	late_up
RPS26	-0.45494920078043494	0.0	0.0	late_down
AHNAK2	0.4549490614447861	0.0	0.0	late_up
COL8A1	0.4522196311724688	0.0	0.0	late_up
C12orf75	0.45061088335601657	0.0	0.0	late_up
ARHGAP29	0.4484852623813963	0.0	0.0	late_up
SPINT2	-0.4475452067058831	0.0	0.0	late_down
GNG10	0.44748959680539874	0.0	0.0	late_up
SLC14A1	-0.4471114538151306	0.0	0.0	late_down
UBC	-0.4470699858087625	0.0	0.0	late_down
FKBP2	-0.44647743670702184	0.0	0.0	late_down
UBE2V1	0.4453935958470782	0.0	0.0	late_up
PTP4A1	-0.44534933880775146	0.0	0.0	late_down
PFN1	0.4435647287157086	0.0	0.0	late_up
AHNAK	0.4430767246290003	0.0	0.0	late_up
MT1M	-0.4428464859856353	0.0	0.0	late_down
SLC4A7	0.43985056562631725	0.0	0.0	late_up
NDRG2	-0.4379977903692928	0.0	0.0	late_down
SNHG8	-0.43784384854529623	0.0	0.0	late_down
FAP	0.43762454846768367	0.0	0.0	late_up
HSP90AB1	-0.4374390652539627	0.0	0.0	late_down
RPS6	-0.4373662445489333	0.0	0.0	late_down
MGST1	0.4370966894928396	0.0	0.0	late_up
GPNMB	0.4364203538091874	0.0	0.0	late_up
CIRBP	-0.4354073148182047	0.0	0.0	late_down
MYL12A	0.4345421607658349	0.0	0.0	late_up
LOX	0.4322820271393294	0.0	0.0	late_up
UACA	0.4319645754231559	0.0	0.0	late_up
CITED2	0.43114814069109997	0.0	0.0	late_up
CILP	-0.43108407661381876	0.0	0.0	late_down
RPL13	-0.4309327210991079	0.0	0.0	late_down
ENAH	0.4299020092688503	0.0	0.0	late_up
NT5E	0.42942840030554735	0.0	0.0	late_up
COL3A1	0.42780669239434904	0.0	0.0	late_up
MACF1	0.4276789753474214	0.0	0.0	late_up
LOXL1	0.42697932140873424	0.0	0.0	late_up
BGN	-0.4266746757854429	0.0	0.0	late_down
SERPINA5	-0.42604709106184513	0.0	0.0	late_down
RPS27L	0.4260360114551439	0.0	0.0	late_up
RPL37A	-0.42445618761453413	0.0	0.0	late_down
RPL41	-0.4243714140113176	0.0	0.0	late_down
CD63	0.4239563220908035	0.0	0.0	late_up
ADH5	0.42330172989485043	0.0	0.0	late_up
ARPC1B	0.4210479671766452	0.0	0.0	late_up
ASPH	0.4206669291806069	0.0	0.0	late_up
PDLIM2	0.41941213385710163	0.0	0.0	late_up
PPP1R15A	-0.4194065768087214	0.0	0.0	late_down
SERPING1	-0.41872161344984754	0.0	0.0	late_down
JUNB	-0.41680558306849946	0.0	0.0	late_down
IER5	-0.41636221522450956	0.0	0.0	late_down
MYL6	0.4160679211821503	0.0	0.0	late_up
GTF2I	0.4145806842480804	0.0	0.0	late_up
RPL32	-0.41299410620685956	0.0	0.0	late_down
MYH9	0.4127168411634439	0.0	0.0	late_up
RPS4Y1	-0.4122766922641996	0.0	0.0	late_down
ITM2A	-0.41222033195577423	0.0	0.0	late_down
VIM	0.41219597626149673	0.0	0.0	late_up
ADAM12	0.41213218659224204	0.0	0.0	late_up
IGFBP7	0.4121249582455294	0.0	0.0	late_up
PPP1R14B	0.4111398547139973	0.0	0.0	late_up
CAV1	0.40883454017385584	0.0	0.0	late_up
YWHAB	0.40623321063312745	0.0	0.0	late_up
CAMK2N1	0.4053041239750831	0.0	0.0	late_up
ARPC5	0.4048496594393456	0.0	0.0	late_up
PTX3	0.4045936895429056	0.0	0.0	late_up
SLPI	-0.4020909070906488	0.0	0.0	late_down
RPS12	-0.40075303594689693	0.0	0.0	late_down
PKM	0.40001054885248355	0.0	0.0	late_up
ZMAT3	0.3995848668680517	0.0	0.0	late_up
MYO1B	0.3995149735389259	0.0	0.0	late_up
CD151	0.39940114215281736	0.0	0.0	late_up
TLN1	0.39935524831261715	0.0	0.0	late_up
RPL23A	-0.3991376359687974	0.0	0.0	late_down
NDUFA13	0.3985993205223137	0.0	0.0	late_up
RPL35A	-0.39780123019585656	0.0	0.0	late_down
MDFI	-0.3976377772387402	0.0	0.0	late_down
