gene	rho	pvalue	padj	program
EGR1	-0.47932670695937984	0.0	0.0	late_down
CRYAB	0.4188814428116317	0.0	0.0	late_up
FOS	-0.4174826277416184	0.0	0.0	late_down
KCNMA1	0.41551287420863575	0.0	0.0	late_up
UBC	0.40420430045930794	0.0	0.0	late_up
BEX2	0.40087580815406637	0.0	0.0	late_up
FOSB	-0.3885509307855543	0.0	0.0	late_down
IL17B	0.3883711551532422	0.0	0.0	late_up
STMN1	0.3874961518177246	0.0	0.0	late_up
SLC3A2	0.38681578838050784	0.0	0.0	late_up
SPINT2	0.3849185420319759	0.0	0.0	late_up
ITM2C	0.38113069269338573	0.0	0.0	late_up
FN1	-0.3784715168427311	0.0	0.0	late_down
PDPN	0.3653564017666632	0.0	0.0	late_up
ODC1	0.3609435934432348	0.0	0.0	late_up
DDIT3	0.35517524375358384	0.0	0.0	late_up
N4BP2L1	0.34957143888157793	0.0	0.0	late_up
FTL	0.3495093902790647	0.0	0.0	late_up
TM4SF1	0.34652274106821046	0.0	0.0	late_up
RPL8	0.3464601134370508	0.0	0.0	late_up
RHEB	0.3433088402452488	0.0	0.0	late_up
TNFRSF12A	0.3432253561990251	0.0	0.0	late_up
LARP6	0.3422673945447257	0.0	0.0	late_up
CLU	-0.3415841637429155	0.0	0.0	late_down
BEX4	0.3410185027134957	0.0	0.0	late_up
DCXR	0.340331923657661	0.0	0.0	late_up
FGF2	0.3396397760126247	0.0	0.0	late_up
FTH1	0.33758947500262765	0.0	0.0	late_up
CYTL1	0.3337175071991912	0.0	0.0	late_up
RPS3	0.3327690559956179	0.0	0.0	late_up
S100A10	0.3306408175680762	0.0	0.0	late_up
RPS4X	0.3303936554961817	0.0	0.0	late_up
THUMPD3-AS1	0.3295361544383952	0.0	0.0	late_up
CHD2	0.3292123413755615	0.0	0.0	late_up
NLRP1	0.3282772083438107	0.0	0.0	late_up
TUBB2B	0.3252034552559198	0.0	0.0	late_up
FBXO2	0.3250346509326937	0.0	0.0	late_up
BTG3	0.32497115836098706	0.0	0.0	late_up
CYSTM1	0.3238701953414956	0.0	0.0	late_up
RBP4	0.3235248068460187	0.0	0.0	late_up
EFNA1	0.32313821509634205	0.0	0.0	late_up
LGALS3	0.3229570325030174	0.0	0.0	late_up
OGN	-0.32269341484721115	0.0	0.0	late_down
ILF2	0.31999357439311876	0.0	0.0	late_up
RPL19	0.31930677379099964	0.0	0.0	late_up
ISG20	0.3170125995423839	0.0	0.0	late_up
MPC2	0.31658443042311346	0.0	0.0	late_up
HSPB1	0.3156640844472329	0.0	0.0	late_up
SERPINI1	0.3148813827451964	0.0	0.0	late_up
HSPA6	0.31479442493285065	0.0	0.0	late_up
RPL7A	0.31419120557348895	0.0	0.0	late_up
LRRFIP1	0.31013931514919424	0.0	0.0	late_up
HMGA1	0.30837973785074274	0.0	0.0	late_up
ETNK1	0.30764470938749855	0.0	0.0	late_up
LUM	-0.3072085055291619	0.0	0.0	late_down
EPB41L4A-AS1	0.3051325032607245	0.0	0.0	late_up
NENF	0.30372137272827254	0.0	0.0	late_up
CDK2AP2	0.3029394410415677	0.0	0.0	late_up
RPL39	-0.30282431768173534	0.0	0.0	late_down
RAN	0.302630124265757	0.0	0.0	late_up
DMKN	0.3020071151654638	0.0	0.0	late_up
EIF3I	0.301529964343328	0.0	0.0	late_up
UBE2D2	0.3010660237900724	0.0	0.0	late_up
TAF7	0.2998774386469376	0.0	0.0	late_up
KRT18	0.2992910888358389	0.0	0.0	late_up
MRFAP1	0.2992447406438231	0.0	0.0	late_up
CNBP	0.2991968999333552	0.0	0.0	late_up
ENHO	0.29912715145300384	0.0	0.0	late_up
RHOQ	0.2984540740759321	0.0	0.0	late_up
ELF3	0.2979536658155468	0.0	0.0	late_up
ROCR	0.2973531706564547	0.0	0.0	late_up
FNIP1	0.2968037641953707	0.0	0.0	late_up
GSTO1	0.29627437448628413	0.0	0.0	late_up
HMGB2	0.29615933573151987	0.0	0.0	late_up
RAP1B	0.29357760978847447	0.0	0.0	late_up
SDCBP	0.2933583118665027	0.0	0.0	late_up
MAP1LC3B	0.2928799014904396	0.0	0.0	late_up
RHOD	0.29278445686902504	0.0	0.0	late_up
H2AFJ	0.29161903014045326	0.0	0.0	late_up
RPS27	-0.2914587136556476	0.0	0.0	late_down
SNHG7	0.2902593212240578	0.0	0.0	late_up
TUBB2A	0.28966009555833105	0.0	0.0	late_up
ANXA5	0.2891177256384553	0.0	0.0	late_up
RARRES2	0.28891077012050453	0.0	0.0	late_up
VGLL4	0.2886113481645139	0.0	0.0	late_up
RPL18	0.2885652338951444	0.0	0.0	late_up
MARCKSL1	0.2871944256424008	0.0	0.0	late_up
FRZB	0.2867532337156681	0.0	0.0	late_up
SBDS	0.28665827976396413	0.0	0.0	late_up
UBE2H	0.28646251428538844	0.0	0.0	late_up
COPRS	0.2861252559503935	0.0	0.0	late_up
NUPR1	0.2858665298752528	0.0	0.0	late_up
CHPT1	0.2846638346661311	0.0	0.0	late_up
APOD	0.2839990210323581	0.0	0.0	late_up
EIF5	0.28390667330217895	0.0	0.0	late_up
COX7A2L	0.28378129729725027	0.0	0.0	late_up
FABP5	0.2834332461643609	0.0	0.0	late_up
DYNLT1	0.28238382158125697	0.0	0.0	late_up
H2AFZ	0.28132335832702704	0.0	0.0	late_up
AKIRIN2	0.28097886194324473	0.0	0.0	late_up
RPS9	0.28051878441250105	0.0	0.0	late_up
PMP22	0.27994317847449246	0.0	0.0	late_up
JUNB	-0.2795283224761807	0.0	0.0	late_down
CD9	0.2783705299380519	0.0	0.0	late_up
SARAF	0.27821481940115594	0.0	0.0	late_up
VDAC2	0.2781777607753073	0.0	0.0	late_up
RHOC	0.27806627127744205	0.0	0.0	late_up
BCAS2	0.27796456942866715	0.0	0.0	late_up
SNRPN	0.27771638448075764	0.0	0.0	late_up
WFDC2	0.27625230824414526	0.0	0.0	late_up
BTF3	0.2761109934162461	0.0	0.0	late_up
TSC22D1	0.2757937058158033	0.0	0.0	late_up
YWHAH	0.2754206142898499	0.0	0.0	late_up
DPH3	0.27541992232153384	0.0	0.0	late_up
CDV3	0.2751440983335439	0.0	0.0	late_up
RPS14	0.2746291558184303	0.0	0.0	late_up
TUBA1C	0.2742430175991923	0.0	0.0	late_up
PTGES3	0.2735545423524799	0.0	0.0	late_up
UFC1	0.273113050689728	0.0	0.0	late_up
ATP6V0E1	0.27278317578421585	0.0	0.0	late_up
LPIN2	0.27269604346927956	0.0	0.0	late_up
TMEM243	0.27241581905403517	0.0	0.0	late_up
MLF1	0.2721090747707046	0.0	0.0	late_up
CCT4	0.2718981759200897	0.0	0.0	late_up
RPS29	-0.27188130024606494	0.0	0.0	late_down
NOP53	0.2718803975629756	0.0	0.0	late_up
SIVA1	0.2709808653155628	0.0	0.0	late_up
PITHD1	0.2700886165614255	0.0	0.0	late_up
CDKN1A	0.2693594546084562	0.0	0.0	late_up
PSMB1	0.2684515490348056	0.0	0.0	late_up
BARX1	0.2684006478908667	0.0	0.0	late_up
HSPH1	0.2661259297359047	0.0	0.0	late_up
SMDT1	0.2660511964621805	0.0	0.0	late_up
